Using gpu device 0: GeForce GTX 980
... loading data
... building the model
... training
epoch 1, minibatch 2500/2500, validation error 12.850000 %
     epoch 1, minibatch 2500/2500, test error of best model 13.750000 %
epoch 2, minibatch 2500/2500, validation error 11.330000 %
     epoch 2, minibatch 2500/2500, test error of best model 12.000000 %
epoch 3, minibatch 2500/2500, validation error 10.640000 %
     epoch 3, minibatch 2500/2500, test error of best model 11.220000 %
epoch 4, minibatch 2500/2500, validation error 10.120000 %
     epoch 4, minibatch 2500/2500, test error of best model 10.760000 %
epoch 5, minibatch 2500/2500, validation error 9.760000 %
     epoch 5, minibatch 2500/2500, test error of best model 10.320000 %
epoch 6, minibatch 2500/2500, validation error 9.620000 %
     epoch 6, minibatch 2500/2500, test error of best model 9.950000 %
epoch 7, minibatch 2500/2500, validation error 9.400000 %
     epoch 7, minibatch 2500/2500, test error of best model 9.680000 %
epoch 8, minibatch 2500/2500, validation error 9.150000 %
     epoch 8, minibatch 2500/2500, test error of best model 9.420000 %
epoch 9, minibatch 2500/2500, validation error 9.010000 %
     epoch 9, minibatch 2500/2500, test error of best model 9.180000 %
epoch 10, minibatch 2500/2500, validation error 8.860000 %
     epoch 10, minibatch 2500/2500, test error of best model 9.100000 %
epoch 11, minibatch 2500/2500, validation error 8.790000 %
     epoch 11, minibatch 2500/2500, test error of best model 9.020000 %
epoch 12, minibatch 2500/2500, validation error 8.610000 %
     epoch 12, minibatch 2500/2500, test error of best model 8.790000 %
epoch 13, minibatch 2500/2500, validation error 8.530000 %
     epoch 13, minibatch 2500/2500, test error of best model 8.680000 %
epoch 14, minibatch 2500/2500, validation error 8.400000 %
     epoch 14, minibatch 2500/2500, test error of best model 8.620000 %
epoch 15, minibatch 2500/2500, validation error 8.300000 %
     epoch 15, minibatch 2500/2500, test error of best model 8.560000 %
epoch 16, minibatch 2500/2500, validation error 8.220000 %
     epoch 16, minibatch 2500/2500, test error of best model 8.450000 %
epoch 17, minibatch 2500/2500, validation error 8.200000 %
     epoch 17, minibatch 2500/2500, test error of best model 8.340000 %
epoch 18, minibatch 2500/2500, validation error 8.110000 %
     epoch 18, minibatch 2500/2500, test error of best model 8.300000 %
epoch 19, minibatch 2500/2500, validation error 8.040000 %
     epoch 19, minibatch 2500/2500, test error of best model 8.210000 %
epoch 20, minibatch 2500/2500, validation error 7.990000 %
     epoch 20, minibatch 2500/2500, test error of best model 8.150000 %
epoch 21, minibatch 2500/2500, validation error 7.920000 %
     epoch 21, minibatch 2500/2500, test error of best model 8.080000 %
epoch 22, minibatch 2500/2500, validation error 7.890000 %
     epoch 22, minibatch 2500/2500, test error of best model 8.060000 %
epoch 23, minibatch 2500/2500, validation error 7.840000 %
     epoch 23, minibatch 2500/2500, test error of best model 8.060000 %
epoch 24, minibatch 2500/2500, validation error 7.790000 %
     epoch 24, minibatch 2500/2500, test error of best model 8.020000 %
epoch 25, minibatch 2500/2500, validation error 7.750000 %
     epoch 25, minibatch 2500/2500, test error of best model 8.010000 %
epoch 26, minibatch 2500/2500, validation error 7.760000 %
epoch 27, minibatch 2500/2500, validation error 7.740000 %
     epoch 27, minibatch 2500/2500, test error of best model 7.940000 %
epoch 28, minibatch 2500/2500, validation error 7.680000 %
     epoch 28, minibatch 2500/2500, test error of best model 7.910000 %
epoch 29, minibatch 2500/2500, validation error 7.680000 %
epoch 30, minibatch 2500/2500, validation error 7.670000 %
     epoch 30, minibatch 2500/2500, test error of best model 7.830000 %
epoch 31, minibatch 2500/2500, validation error 7.600000 %
     epoch 31, minibatch 2500/2500, test error of best model 7.800000 %
epoch 32, minibatch 2500/2500, validation error 7.550000 %
     epoch 32, minibatch 2500/2500, test error of best model 7.760000 %
epoch 33, minibatch 2500/2500, validation error 7.520000 %
     epoch 33, minibatch 2500/2500, test error of best model 7.700000 %
epoch 34, minibatch 2500/2500, validation error 7.520000 %
epoch 35, minibatch 2500/2500, validation error 7.530000 %
epoch 36, minibatch 2500/2500, validation error 7.500000 %
     epoch 36, minibatch 2500/2500, test error of best model 7.590000 %
epoch 37, minibatch 2500/2500, validation error 7.470000 %
     epoch 37, minibatch 2500/2500, test error of best model 7.620000 %
epoch 38, minibatch 2500/2500, validation error 7.390000 %
     epoch 38, minibatch 2500/2500, test error of best model 7.560000 %
epoch 39, minibatch 2500/2500, validation error 7.410000 %
epoch 40, minibatch 2500/2500, validation error 7.440000 %
epoch 41, minibatch 2500/2500, validation error 7.410000 %
epoch 42, minibatch 2500/2500, validation error 7.410000 %
epoch 43, minibatch 2500/2500, validation error 7.350000 %
     epoch 43, minibatch 2500/2500, test error of best model 7.530000 %
epoch 44, minibatch 2500/2500, validation error 7.310000 %
     epoch 44, minibatch 2500/2500, test error of best model 7.500000 %
epoch 45, minibatch 2500/2500, validation error 7.280000 %
     epoch 45, minibatch 2500/2500, test error of best model 7.450000 %
epoch 46, minibatch 2500/2500, validation error 7.250000 %
     epoch 46, minibatch 2500/2500, test error of best model 7.480000 %
epoch 47, minibatch 2500/2500, validation error 7.230000 %
     epoch 47, minibatch 2500/2500, test error of best model 7.460000 %
epoch 48, minibatch 2500/2500, validation error 7.250000 %
epoch 49, minibatch 2500/2500, validation error 7.250000 %
epoch 50, minibatch 2500/2500, validation error 7.220000 %
     epoch 50, minibatch 2500/2500, test error of best model 7.400000 %
epoch 51, minibatch 2500/2500, validation error 7.220000 %
