Using gpu device 0: GeForce GTX 980
... loading data
<CudaNdarray object at 0x7f489292fbf0>
[0 0 0 ..., 3 3 2]
... building the model
... training
epoch 1, minibatch 1750/1750, validation error 3.640000 %
     epoch 1, minibatch 1750/1750, test error of best model 3.906667 %
epoch 2, minibatch 1750/1750, validation error 3.733333 %
epoch 3, minibatch 1750/1750, validation error 3.466667 %
     epoch 3, minibatch 1750/1750, test error of best model 3.600000 %
epoch 4, minibatch 1750/1750, validation error 3.373333 %
     epoch 4, minibatch 1750/1750, test error of best model 3.386667 %
epoch 5, minibatch 1750/1750, validation error 3.546667 %
epoch 6, minibatch 1750/1750, validation error 3.760000 %
epoch 7, minibatch 1750/1750, validation error 3.173333 %
     epoch 7, minibatch 1750/1750, test error of best model 3.266667 %
epoch 8, minibatch 1750/1750, validation error 2.786667 %
     epoch 8, minibatch 1750/1750, test error of best model 2.880000 %
epoch 9, minibatch 1750/1750, validation error 2.840000 %
epoch 10, minibatch 1750/1750, validation error 2.773333 %
     epoch 10, minibatch 1750/1750, test error of best model 3.026667 %
epoch 11, minibatch 1750/1750, validation error 3.280000 %
epoch 12, minibatch 1750/1750, validation error 2.813333 %
epoch 13, minibatch 1750/1750, validation error 2.973333 %
epoch 14, minibatch 1750/1750, validation error 2.453333 %
     epoch 14, minibatch 1750/1750, test error of best model 2.840000 %
epoch 15, minibatch 1750/1750, validation error 2.626667 %
epoch 16, minibatch 1750/1750, validation error 2.453333 %
epoch 17, minibatch 1750/1750, validation error 2.186667 %
     epoch 17, minibatch 1750/1750, test error of best model 2.466667 %
epoch 18, minibatch 1750/1750, validation error 2.080000 %
     epoch 18, minibatch 1750/1750, test error of best model 2.200000 %
epoch 19, minibatch 1750/1750, validation error 2.520000 %
epoch 20, minibatch 1750/1750, validation error 2.520000 %
epoch 21, minibatch 1750/1750, validation error 2.320000 %
epoch 22, minibatch 1750/1750, validation error 2.373333 %
epoch 23, minibatch 1750/1750, validation error 2.533333 %
epoch 24, minibatch 1750/1750, validation error 2.306667 %
epoch 25, minibatch 1750/1750, validation error 1.866667 %
     epoch 25, minibatch 1750/1750, test error of best model 2.040000 %
epoch 26, minibatch 1750/1750, validation error 2.253333 %
epoch 27, minibatch 1750/1750, validation error 2.146667 %
epoch 28, minibatch 1750/1750, validation error 2.040000 %
epoch 29, minibatch 1750/1750, validation error 2.093333 %
epoch 30, minibatch 1750/1750, validation error 2.200000 %
epoch 31, minibatch 1750/1750, validation error 2.053333 %
epoch 32, minibatch 1750/1750, validation error 2.186667 %
epoch 33, minibatch 1750/1750, validation error 2.453333 %
epoch 34, minibatch 1750/1750, validation error 1.973333 %
epoch 35, minibatch 1750/1750, validation error 2.373333 %
epoch 36, minibatch 1750/1750, validation error 2.186667 %
epoch 37, minibatch 1750/1750, validation error 2.586667 %
epoch 38, minibatch 1750/1750, validation error 2.400000 %
epoch 39, minibatch 1750/1750, validation error 2.466667 %
epoch 40, minibatch 1750/1750, validation error 2.053333 %
epoch 41, minibatch 1750/1750, validation error 1.840000 %
     epoch 41, minibatch 1750/1750, test error of best model 2.040000 %
epoch 42, minibatch 1750/1750, validation error 2.240000 %
epoch 43, minibatch 1750/1750, validation error 2.373333 %
epoch 44, minibatch 1750/1750, validation error 1.986667 %
epoch 45, minibatch 1750/1750, validation error 2.226667 %
epoch 46, minibatch 1750/1750, validation error 2.040000 %
epoch 47, minibatch 1750/1750, validation error 1.906667 %
epoch 48, minibatch 1750/1750, validation error 2.040000 %
epoch 49, minibatch 1750/1750, validation error 1.573333 %
     epoch 49, minibatch 1750/1750, test error of best model 1.706667 %
epoch 50, minibatch 1750/1750, validation error 1.626667 %
epoch 51, minibatch 1750/1750, validation error 1.800000 %
epoch 52, minibatch 1750/1750, validation error 1.986667 %
epoch 53, minibatch 1750/1750, validation error 1.746667 %
epoch 54, minibatch 1750/1750, validation error 1.893333 %
epoch 55, minibatch 1750/1750, validation error 1.453333 %
     epoch 55, minibatch 1750/1750, test error of best model 1.600000 %
epoch 56, minibatch 1750/1750, validation error 1.480000 %
epoch 57, minibatch 1750/1750, validation error 1.720000 %
epoch 58, minibatch 1750/1750, validation error 1.546667 %
epoch 59, minibatch 1750/1750, validation error 1.493333 %
epoch 60, minibatch 1750/1750, validation error 1.560000 %
epoch 61, minibatch 1750/1750, validation error 1.666667 %
epoch 62, minibatch 1750/1750, validation error 1.680000 %
epoch 63, minibatch 1750/1750, validation error 1.546667 %
epoch 64, minibatch 1750/1750, validation error 2.133333 %
epoch 65, minibatch 1750/1750, validation error 2.266667 %
epoch 66, minibatch 1750/1750, validation error 2.120000 %
epoch 67, minibatch 1750/1750, validation error 2.106667 %
epoch 68, minibatch 1750/1750, validation error 2.000000 %
epoch 69, minibatch 1750/1750, validation error 1.933333 %
epoch 70, minibatch 1750/1750, validation error 1.733333 %
epoch 71, minibatch 1750/1750, validation error 1.826667 %
epoch 72, minibatch 1750/1750, validation error 1.600000 %
epoch 73, minibatch 1750/1750, validation error 1.960000 %
epoch 74, minibatch 1750/1750, validation error 1.813333 %
epoch 75, minibatch 1750/1750, validation error 1.680000 %
epoch 76, minibatch 1750/1750, validation error 1.680000 %
epoch 77, minibatch 1750/1750, validation error 1.853333 %
epoch 78, minibatch 1750/1750, validation error 1.893333 %
epoch 79, minibatch 1750/1750, validation error 1.586667 %
epoch 80, minibatch 1750/1750, validation error 1.706667 %
epoch 81, minibatch 1750/1750, validation error 1.946667 %
epoch 82, minibatch 1750/1750, validation error 2.120000 %
epoch 83, minibatch 1750/1750, validation error 1.666667 %
epoch 84, minibatch 1750/1750, validation error 1.813333 %
epoch 85, minibatch 1750/1750, validation error 1.653333 %
epoch 86, minibatch 1750/1750, validation error 1.773333 %
epoch 87, minibatch 1750/1750, validation error 1.746667 %
epoch 88, minibatch 1750/1750, validation error 2.026667 %
epoch 89, minibatch 1750/1750, validation error 2.480000 %
epoch 90, minibatch 1750/1750, validation error 2.026667 %
epoch 91, minibatch 1750/1750, validation error 1.786667 %
epoch 92, minibatch 1750/1750, validation error 2.186667 %
epoch 93, minibatch 1750/1750, validation error 2.253333 %
epoch 94, minibatch 1750/1750, validation error 1.453333 %
     epoch 94, minibatch 1750/1750, test error of best model 1.720000 %
epoch 95, minibatch 1750/1750, validation error 1.520000 %
epoch 96, minibatch 1750/1750, validation error 2.053333 %
epoch 97, minibatch 1750/1750, validation error 1.546667 %
epoch 98, minibatch 1750/1750, validation error 1.933333 %
epoch 99, minibatch 1750/1750, validation error 1.666667 %
epoch 100, minibatch 1750/1750, validation error 1.333333 %
     epoch 100, minibatch 1750/1750, test error of best model 1.453333 %
epoch 101, minibatch 1750/1750, validation error 1.960000 %
epoch 102, minibatch 1750/1750, validation error 1.800000 %
epoch 103, minibatch 1750/1750, validation error 1.720000 %
epoch 104, minibatch 1750/1750, validation error 1.960000 %
epoch 105, minibatch 1750/1750, validation error 1.520000 %
epoch 106, minibatch 1750/1750, validation error 1.746667 %
