... loading data
... building the model
... training
epoch 1, minibatch 1750/1750, validation error 7.226667 %
     epoch 1, minibatch 1750/1750, test error of best model 6.533333 %
epoch 2, minibatch 1750/1750, validation error 5.213333 %
     epoch 2, minibatch 1750/1750, test error of best model 4.653333 %
epoch 3, minibatch 1750/1750, validation error 4.440000 %
     epoch 3, minibatch 1750/1750, test error of best model 3.960000 %
epoch 4, minibatch 1750/1750, validation error 3.973333 %
     epoch 4, minibatch 1750/1750, test error of best model 3.600000 %
epoch 5, minibatch 1750/1750, validation error 3.733333 %
     epoch 5, minibatch 1750/1750, test error of best model 3.333333 %
epoch 6, minibatch 1750/1750, validation error 3.586667 %
     epoch 6, minibatch 1750/1750, test error of best model 3.133333 %
epoch 7, minibatch 1750/1750, validation error 3.373333 %
     epoch 7, minibatch 1750/1750, test error of best model 3.026667 %
epoch 8, minibatch 1750/1750, validation error 3.240000 %
     epoch 8, minibatch 1750/1750, test error of best model 2.906667 %
epoch 9, minibatch 1750/1750, validation error 3.093333 %
     epoch 9, minibatch 1750/1750, test error of best model 2.746667 %
epoch 10, minibatch 1750/1750, validation error 2.973333 %
     epoch 10, minibatch 1750/1750, test error of best model 2.680000 %
epoch 11, minibatch 1750/1750, validation error 2.920000 %
     epoch 11, minibatch 1750/1750, test error of best model 2.613333 %
epoch 12, minibatch 1750/1750, validation error 2.893333 %
     epoch 12, minibatch 1750/1750, test error of best model 2.506667 %
epoch 13, minibatch 1750/1750, validation error 2.893333 %
epoch 14, minibatch 1750/1750, validation error 2.853333 %
     epoch 14, minibatch 1750/1750, test error of best model 2.426667 %
epoch 15, minibatch 1750/1750, validation error 2.826667 %
     epoch 15, minibatch 1750/1750, test error of best model 2.426667 %
epoch 16, minibatch 1750/1750, validation error 2.786667 %
     epoch 16, minibatch 1750/1750, test error of best model 2.373333 %
epoch 17, minibatch 1750/1750, validation error 2.746667 %
     epoch 17, minibatch 1750/1750, test error of best model 2.360000 %
epoch 18, minibatch 1750/1750, validation error 2.746667 %
epoch 19, minibatch 1750/1750, validation error 2.720000 %
     epoch 19, minibatch 1750/1750, test error of best model 2.333333 %
epoch 20, minibatch 1750/1750, validation error 2.693333 %
     epoch 20, minibatch 1750/1750, test error of best model 2.360000 %
epoch 21, minibatch 1750/1750, validation error 2.666667 %
     epoch 21, minibatch 1750/1750, test error of best model 2.360000 %
epoch 22, minibatch 1750/1750, validation error 2.640000 %
     epoch 22, minibatch 1750/1750, test error of best model 2.320000 %
epoch 23, minibatch 1750/1750, validation error 2.640000 %
epoch 24, minibatch 1750/1750, validation error 2.600000 %
     epoch 24, minibatch 1750/1750, test error of best model 2.293333 %
epoch 25, minibatch 1750/1750, validation error 2.546667 %
     epoch 25, minibatch 1750/1750, test error of best model 2.280000 %
epoch 26, minibatch 1750/1750, validation error 2.546667 %
     epoch 26, minibatch 1750/1750, test error of best model 2.266667 %
epoch 27, minibatch 1750/1750, validation error 2.480000 %
     epoch 27, minibatch 1750/1750, test error of best model 2.240000 %
epoch 28, minibatch 1750/1750, validation error 2.413333 %
     epoch 28, minibatch 1750/1750, test error of best model 2.240000 %
epoch 29, minibatch 1750/1750, validation error 2.386667 %
     epoch 29, minibatch 1750/1750, test error of best model 2.200000 %
epoch 30, minibatch 1750/1750, validation error 2.346667 %
     epoch 30, minibatch 1750/1750, test error of best model 2.213333 %
