Using gpu device 0: GeForce GTX 980
... loading data
... building the model
... training
epoch 1, minibatch 5000/5000, validation error 72.290000 %
     epoch 1, minibatch 5000/5000, test error of best model 72.310000 %
epoch 2, minibatch 5000/5000, validation error 65.740000 %
     epoch 2, minibatch 5000/5000, test error of best model 66.160000 %
epoch 3, minibatch 5000/5000, validation error 64.660000 %
     epoch 3, minibatch 5000/5000, test error of best model 64.610000 %
epoch 4, minibatch 5000/5000, validation error 62.790000 %
     epoch 4, minibatch 5000/5000, test error of best model 62.370000 %
epoch 5, minibatch 5000/5000, validation error 59.090000 %
     epoch 5, minibatch 5000/5000, test error of best model 58.750000 %
epoch 6, minibatch 5000/5000, validation error 55.510000 %
     epoch 6, minibatch 5000/5000, test error of best model 56.230000 %
epoch 7, minibatch 5000/5000, validation error 54.320000 %
     epoch 7, minibatch 5000/5000, test error of best model 54.880000 %
epoch 8, minibatch 5000/5000, validation error 53.860000 %
     epoch 8, minibatch 5000/5000, test error of best model 54.150000 %
epoch 9, minibatch 5000/5000, validation error 52.800000 %
     epoch 9, minibatch 5000/5000, test error of best model 53.330000 %
epoch 10, minibatch 5000/5000, validation error 50.330000 %
     epoch 10, minibatch 5000/5000, test error of best model 51.620000 %
epoch 11, minibatch 5000/5000, validation error 49.890000 %
     epoch 11, minibatch 5000/5000, test error of best model 50.710000 %
epoch 12, minibatch 5000/5000, validation error 49.250000 %
     epoch 12, minibatch 5000/5000, test error of best model 50.110000 %
epoch 13, minibatch 5000/5000, validation error 48.260000 %
     epoch 13, minibatch 5000/5000, test error of best model 49.530000 %
epoch 14, minibatch 5000/5000, validation error 47.600000 %
     epoch 14, minibatch 5000/5000, test error of best model 48.780000 %
epoch 15, minibatch 5000/5000, validation error 47.070000 %
     epoch 15, minibatch 5000/5000, test error of best model 48.000000 %
epoch 16, minibatch 5000/5000, validation error 47.970000 %
epoch 17, minibatch 5000/5000, validation error 47.840000 %
epoch 18, minibatch 5000/5000, validation error 48.880000 %
epoch 19, minibatch 5000/5000, validation error 47.380000 %
epoch 20, minibatch 5000/5000, validation error 44.660000 %
     epoch 20, minibatch 5000/5000, test error of best model 45.730000 %
epoch 21, minibatch 5000/5000, validation error 36.520000 %
     epoch 21, minibatch 5000/5000, test error of best model 37.180000 %
epoch 22, minibatch 5000/5000, validation error 32.950000 %
     epoch 22, minibatch 5000/5000, test error of best model 33.190000 %
epoch 23, minibatch 5000/5000, validation error 30.540000 %
     epoch 23, minibatch 5000/5000, test error of best model 30.790000 %
epoch 24, minibatch 5000/5000, validation error 30.900000 %
epoch 25, minibatch 5000/5000, validation error 32.160000 %
epoch 26, minibatch 5000/5000, validation error 33.210000 %
epoch 27, minibatch 5000/5000, validation error 31.710000 %
epoch 28, minibatch 5000/5000, validation error 30.440000 %
     epoch 28, minibatch 5000/5000, test error of best model 31.080000 %
epoch 29, minibatch 5000/5000, validation error 29.220000 %
     epoch 29, minibatch 5000/5000, test error of best model 29.450000 %
epoch 30, minibatch 5000/5000, validation error 28.420000 %
     epoch 30, minibatch 5000/5000, test error of best model 28.770000 %
epoch 31, minibatch 5000/5000, validation error 27.260000 %
     epoch 31, minibatch 5000/5000, test error of best model 27.770000 %
epoch 32, minibatch 5000/5000, validation error 26.390000 %
     epoch 32, minibatch 5000/5000, test error of best model 26.750000 %
epoch 33, minibatch 5000/5000, validation error 26.130000 %
     epoch 33, minibatch 5000/5000, test error of best model 26.370000 %
epoch 34, minibatch 5000/5000, validation error 26.360000 %
epoch 35, minibatch 5000/5000, validation error 26.320000 %
epoch 36, minibatch 5000/5000, validation error 26.430000 %
epoch 37, minibatch 5000/5000, validation error 26.370000 %
epoch 38, minibatch 5000/5000, validation error 25.260000 %
     epoch 38, minibatch 5000/5000, test error of best model 25.510000 %
epoch 39, minibatch 5000/5000, validation error 23.980000 %
     epoch 39, minibatch 5000/5000, test error of best model 24.530000 %
epoch 40, minibatch 5000/5000, validation error 22.820000 %
     epoch 40, minibatch 5000/5000, test error of best model 23.320000 %
epoch 41, minibatch 5000/5000, validation error 21.760000 %
     epoch 41, minibatch 5000/5000, test error of best model 22.200000 %
epoch 42, minibatch 5000/5000, validation error 20.930000 %
     epoch 42, minibatch 5000/5000, test error of best model 21.100000 %
epoch 43, minibatch 5000/5000, validation error 21.010000 %
epoch 44, minibatch 5000/5000, validation error 20.710000 %
     epoch 44, minibatch 5000/5000, test error of best model 20.430000 %
epoch 45, minibatch 5000/5000, validation error 20.050000 %
     epoch 45, minibatch 5000/5000, test error of best model 19.790000 %
epoch 46, minibatch 5000/5000, validation error 19.610000 %
     epoch 46, minibatch 5000/5000, test error of best model 19.290000 %
epoch 47, minibatch 5000/5000, validation error 18.590000 %
     epoch 47, minibatch 5000/5000, test error of best model 18.300000 %
epoch 48, minibatch 5000/5000, validation error 17.290000 %
     epoch 48, minibatch 5000/5000, test error of best model 16.990000 %
epoch 49, minibatch 5000/5000, validation error 16.600000 %
     epoch 49, minibatch 5000/5000, test error of best model 16.470000 %
epoch 50, minibatch 5000/5000, validation error 16.620000 %
epoch 51, minibatch 5000/5000, validation error 16.460000 %
     epoch 51, minibatch 5000/5000, test error of best model 16.270000 %
epoch 52, minibatch 5000/5000, validation error 16.660000 %
epoch 53, minibatch 5000/5000, validation error 17.150000 %
epoch 54, minibatch 5000/5000, validation error 16.910000 %
epoch 55, minibatch 5000/5000, validation error 16.700000 %
epoch 56, minibatch 5000/5000, validation error 16.720000 %
epoch 57, minibatch 5000/5000, validation error 16.660000 %
epoch 58, minibatch 5000/5000, validation error 16.700000 %
epoch 59, minibatch 5000/5000, validation error 17.090000 %
epoch 60, minibatch 5000/5000, validation error 17.380000 %
epoch 61, minibatch 5000/5000, validation error 17.460000 %
epoch 62, minibatch 5000/5000, validation error 17.480000 %
epoch 63, minibatch 5000/5000, validation error 17.140000 %
epoch 64, minibatch 5000/5000, validation error 17.160000 %
epoch 65, minibatch 5000/5000, validation error 17.390000 %
epoch 66, minibatch 5000/5000, validation error 17.560000 %
epoch 67, minibatch 5000/5000, validation error 17.160000 %
epoch 68, minibatch 5000/5000, validation error 17.290000 %
epoch 69, minibatch 5000/5000, validation error 17.070000 %
epoch 70, minibatch 5000/5000, validation error 17.100000 %
epoch 71, minibatch 5000/5000, validation error 16.990000 %
epoch 72, minibatch 5000/5000, validation error 17.070000 %
epoch 73, minibatch 5000/5000, validation error 16.990000 %
epoch 74, minibatch 5000/5000, validation error 16.730000 %
epoch 75, minibatch 5000/5000, validation error 16.490000 %
epoch 76, minibatch 5000/5000, validation error 16.570000 %
epoch 77, minibatch 5000/5000, validation error 16.630000 %
epoch 78, minibatch 5000/5000, validation error 16.330000 %
